filename,title,level,tactics,techniques,source_folder,original_path
onelogin_assumed_another_user.yml,OneLogin User Assumed Another User,low,impact,,rules,rules/identity/onelogin/onelogin_assumed_another_user.yml
onelogin_user_account_locked.yml,OneLogin User Account Locked,low,impact,,rules,rules/identity/onelogin/onelogin_user_account_locked.yml
cisco_duo_mfa_bypass_via_bypass_code.yml,Cisco Duo Successful MFA Authentication Via Bypass Code,medium,"credential-access,initial-access,stealth",,rules,rules/identity/cisco_duo/cisco_duo_mfa_bypass_via_bypass_code.yml
okta_admin_role_assignment_created.yml,Okta Admin Role Assignment Created,medium,persistence,,rules,rules/identity/okta/okta_admin_role_assignment_created.yml
okta_user_created.yml,New Okta User Created,informational,credential-access,,rules,rules/identity/okta/okta_user_created.yml
okta_policy_rule_modified_or_deleted.yml,Okta Policy Rule Modified or Deleted,medium,impact,,rules,rules/identity/okta/okta_policy_rule_modified_or_deleted.yml
okta_fastpass_phishing_detection.yml,Okta FastPass Phishing Detection,high,initial-access,T1566,rules,rules/identity/okta/okta_fastpass_phishing_detection.yml
okta_unauthorized_access_to_app.yml,Okta Unauthorized Access to App,medium,impact,,rules,rules/identity/okta/okta_unauthorized_access_to_app.yml
okta_user_account_locked_out.yml,Okta User Account Locked Out,medium,impact,T1531,rules,rules/identity/okta/okta_user_account_locked_out.yml
okta_api_token_revoked.yml,Okta API Token Revoked,medium,impact,,rules,rules/identity/okta/okta_api_token_revoked.yml
okta_new_behaviours_admin_console.yml,Okta New Admin Console Behaviours,high,"initial-access,persistence,privilege-escalation,stealth",T1078.004,rules,rules/identity/okta/okta_new_behaviours_admin_console.yml
okta_application_modified_or_deleted.yml,Okta Application Modified or Deleted,medium,impact,,rules,rules/identity/okta/okta_application_modified_or_deleted.yml
okta_user_session_start_via_anonymised_proxy.yml,Okta User Session Start Via An Anonymising Proxy Service,high,defense-impairment,T1685,rules,rules/identity/okta/okta_user_session_start_via_anonymised_proxy.yml
okta_mfa_reset_or_deactivated.yml,Okta MFA Reset or Deactivated,medium,"credential-access,defense-impairment,persistence",T1556.006,rules,rules/identity/okta/okta_mfa_reset_or_deactivated.yml
okta_admin_role_assigned_to_user_or_group.yml,Okta Admin Role Assigned to an User or Group,medium,"persistence,privilege-escalation",T1098.003,rules,rules/identity/okta/okta_admin_role_assigned_to_user_or_group.yml
okta_api_token_created.yml,Okta API Token Created,medium,persistence,,rules,rules/identity/okta/okta_api_token_created.yml
okta_security_threat_detected.yml,Okta Security Threat Detected,medium,command-and-control,,rules,rules/identity/okta/okta_security_threat_detected.yml
okta_suspicious_activity_enduser_report.yml,Okta Suspicious Activity Reported by End-user,high,resource-development,T1586.003,rules,rules/identity/okta/okta_suspicious_activity_enduser_report.yml
okta_password_in_alternateid_field.yml,Potential Okta Password in AlternateID Field,high,credential-access,T1552,rules,rules/identity/okta/okta_password_in_alternateid_field.yml
okta_policy_modified_or_deleted.yml,Okta Policy Modified or Deleted,low,impact,,rules,rules/identity/okta/okta_policy_modified_or_deleted.yml
okta_admin_activity_from_proxy_query.yml,Okta Admin Functions Access Through Proxy,medium,credential-access,,rules,rules/identity/okta/okta_admin_activity_from_proxy_query.yml
okta_network_zone_deactivated_or_deleted.yml,Okta Network Zone Deactivated or Deleted,medium,impact,,rules,rules/identity/okta/okta_network_zone_deactivated_or_deleted.yml
okta_identity_provider_created.yml,Okta Identity Provider Created,medium,"persistence,privilege-escalation",T1098.001,rules,rules/identity/okta/okta_identity_provider_created.yml
okta_application_sign_on_policy_modified_or_deleted.yml,Okta Application Sign-On Policy Modified or Deleted,medium,impact,,rules,rules/identity/okta/okta_application_sign_on_policy_modified_or_deleted.yml
av_exploiting.yml,Antivirus Exploitation Framework Detection,critical,"command-and-control,execution","T1203,T1219.002",rules,rules/category/antivirus/av_exploiting.yml
av_password_dumper.yml,Antivirus Password Dumper Detection,critical,credential-access,"T1003,T1003.001,T1003.002,T1558",rules,rules/category/antivirus/av_password_dumper.yml
av_relevant_files.yml,Antivirus Relevant File Paths Alerts,high,resource-development,T1588,rules,rules/category/antivirus/av_relevant_files.yml
av_webshell.yml,Antivirus Web Shell Detection,high,persistence,T1505.003,rules,rules/category/antivirus/av_webshell.yml
av_hacktool.yml,Antivirus Hacktool Detection,high,execution,T1204,rules,rules/category/antivirus/av_hacktool.yml
av_ransomware.yml,Antivirus Ransomware Detection,critical,impact,T1486,rules,rules/category/antivirus/av_ransomware.yml
db_anomalous_query.yml,Suspicious SQL Query,medium,"exfiltration,initial-access,persistence,privilege-escalation","T1190,T1505.001",rules,rules/category/database/db_anomalous_query.yml
proxy_ua_rclone.yml,Rclone Activity via Proxy,medium,exfiltration,T1567.002,rules,rules/web/proxy_generic/proxy_ua_rclone.yml
proxy_download_susp_dyndns.yml,Download from Suspicious Dyndns Hosts,medium,command-and-control,"T1105,T1568",rules,rules/web/proxy_generic/proxy_download_susp_dyndns.yml
proxy_f5_tm_utility_bash_api_request.yml,F5 BIG-IP iControl Rest API Command Execution - Proxy,medium,initial-access,T1190,rules,rules/web/proxy_generic/proxy_f5_tm_utility_bash_api_request.yml
proxy_download_susp_tlds_whitelist.yml,Download From Suspicious TLD - Whitelist,low,"execution,initial-access","T1203,T1204.002,T1566",rules,rules/web/proxy_generic/proxy_download_susp_tlds_whitelist.yml
proxy_ua_malware.yml,Malware User Agent,high,command-and-control,T1071.001,rules,rules/web/proxy_generic/proxy_ua_malware.yml
proxy_ua_bitsadmin_susp_tld.yml,Bitsadmin to Uncommon TLD,high,"command-and-control,execution,persistence,stealth","T1071.001,T1197",rules,rules/web/proxy_generic/proxy_ua_bitsadmin_susp_tld.yml
proxy_ua_frameworks.yml,Exploit Framework User Agent,high,command-and-control,T1071.001,rules,rules/web/proxy_generic/proxy_ua_frameworks.yml
proxy_hktl_empire_ua_uri_patterns.yml,HackTool - Empire UserAgent URI Combo,high,command-and-control,T1071.001,rules,rules/web/proxy_generic/proxy_hktl_empire_ua_uri_patterns.yml
proxy_ua_powershell.yml,Windows PowerShell User Agent,medium,command-and-control,T1071.001,rules,rules/web/proxy_generic/proxy_ua_powershell.yml
proxy_ua_empty.yml,HTTP Request With Empty User Agent,medium,command-and-control,T1071.001,rules,rules/web/proxy_generic/proxy_ua_empty.yml
proxy_webdav_external_execution.yml,Suspicious External WebDAV Execution,high,"initial-access,resource-development","T1566,T1584",rules,rules/web/proxy_generic/proxy_webdav_external_execution.yml
